Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/10/2026,IC* INSTACART       SAN FRANCISCO       CA,97.53,"E6J1WB7X    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261300684678049',Merchandise & Supplies-Groceries
05/10/2026,IC* INSTACART       SAN FRANCISCO       CA,226.72,"9JPKXVVS    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261310724622395',Merchandise & Supplies-Groceries
05/08/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,97.74,"CH_2TV4EOXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261300685915493',Merchandise & Supplies-Groceries
05/06/2026,IC* INSTACART       SAN FRANCISCO       CA,24.44,"FKFQR0T2    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261260567319392',Merchandise & Supplies-Groceries
05/05/2026,MOBILE PAYMENT - THANK YOU,-731.90,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261250534260034',
05/03/2026,AplPay SMARTANDFINALSMARTANDFINAL       CA,65.60,"4971455     510-851-8548
AplPay SMARTANDFINAL 409 001
SMARTANDFINAL
CA
Description : GROCERIES/SUNDRIES Price : 0.00
510-851-8548",AplPay SMARTANDFINALSMARTANDFINAL       CA,600 CITADEL DR,"COMMERCE
CA",90040,UNITED STATES,'320261230480872452',Merchandise & Supplies-Groceries
05/02/2026,IC* INSTACART       SAN FRANCISCO       CA,208.79,"AFPWZ3VK    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261220447822680',Merchandise & Supplies-Groceries
05/01/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,41.42,"CH_2TSWDGXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261220450093256',Merchandise & Supplies-Groceries
05/01/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,416.09,"CH_2TSWHLXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261220448896920',Merchandise & Supplies-Groceries
05/01/2026,MOBILE PAYMENT - THANK YOU,-251.44,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261220439225195',
04/29/2026,IC* INSTACART       SAN FRANCISCO       CA,6.36,"3GSXZPYM    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261190360074125',Merchandise & Supplies-Groceries
04/29/2026,IC* INSTACART       SAN FRANCISCO       CA,17.01,"6C1ZWQYE    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261190354504579',Merchandise & Supplies-Groceries
04/29/2026,IC* INSTACART       SAN FRANCISCO       CA,41.82,"9KKDGHGF    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261190360074440',Merchandise & Supplies-Groceries
04/29/2026,IC* INSTACART       SAN FRANCISCO       CA,92.20,"PF725S98    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261190354456470',Merchandise & Supplies-Groceries
04/29/2026,IC* INSTACART*1102  SAN FRANCISCO       CA,94.05,"Q5XCKNCR    8882467822
IC* INSTACART*1102
SAN FRANCISCO
CA
8882467822",IC* INSTACART*1102  SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261190358647766',Merchandise & Supplies-Groceries
04/29/2026,MOBILE PAYMENT - THANK YOU,-670.73,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261190350365813',
